nick,civ,wins,losses,games,winrate
ImVaibhav,Aztecs,3,1,4,0.75
ImVaibhav,Bengalis,2,1,3,0.67
ImVaibhav,Berbers,5,0,5,1.00
ImVaibhav,Bohemians,0,2,2,0.00
ImVaibhav,Britons,3,1,4,0.75
ImVaibhav,Bulgarians,3,3,6,0.50
ImVaibhav,Burgundians,2,3,5,0.40
ImVaibhav,Burmese,2,1,3,0.67
ImVaibhav,Byzantines,0,4,4,0.00
ImVaibhav,Celts,0,1,1,0.00
ImVaibhav,Chinese,2,0,2,1.00
ImVaibhav,Cumans,2,1,3,0.67
ImVaibhav,Dravidians,1,2,3,0.33
ImVaibhav,Ethiopians,1,1,2,0.50
ImVaibhav,Franks,2,1,3,0.67
ImVaibhav,Goths,0,1,1,0.00
ImVaibhav,Gurjaras,0,4,4,0.00
ImVaibhav,Hindustanis,3,2,5,0.60
ImVaibhav,Huns,0,2,2,0.00
ImVaibhav,Inca,3,2,5,0.60
ImVaibhav,Italians,0,2,2,0.00
ImVaibhav,Japanese,0,1,1,0.00
ImVaibhav,Khmer,0,2,2,0.00
ImVaibhav,Koreans,0,2,2,0.00
ImVaibhav,Lithuanians,1,0,1,1.00
ImVaibhav,Magyars,6,1,7,0.86
ImVaibhav,Malay,1,0,1,1.00
ImVaibhav,Malians,3,1,4,0.75
ImVaibhav,Maya,0,2,2,0.00
ImVaibhav,Mongols,0,1,1,0.00
ImVaibhav,Persians,1,1,2,0.50
ImVaibhav,Poles,2,2,4,0.50
ImVaibhav,Portuguese,0,1,1,0.00
ImVaibhav,Saracens,1,2,3,0.33
ImVaibhav,Sicilians,0,1,1,0.00
ImVaibhav,Slavs,2,0,2,1.00
ImVaibhav,Spanish,5,1,6,0.83
ImVaibhav,Tatars,5,4,9,0.56
ImVaibhav,Teutons,1,0,1,1.00
ImVaibhav,Turks,4,1,5,0.80
ImVaibhav,Vietnamese,3,1,4,0.75
ImVaibhav,Vikings,2,2,4,0.50
Kaipullae,Armenians,2,7,9,0.22
Kaipullae,Aztecs,8,4,12,0.67
Kaipullae,Bengalis,5,7,12,0.42
Kaipullae,Berbers,4,10,14,0.29
Kaipullae,Bohemians,6,0,6,1.00
Kaipullae,Britons,7,6,13,0.54
Kaipullae,Bulgarians,5,4,9,0.56
Kaipullae,Burgundians,6,6,12,0.50
Kaipullae,Burmese,4,4,8,0.50
Kaipullae,Byzantines,5,2,7,0.71
Kaipullae,Celts,2,9,11,0.18
Kaipullae,Chinese,6,4,10,0.60
Kaipullae,Cumans,4,3,7,0.57
Kaipullae,Dravidians,3,2,5,0.60
Kaipullae,Ethiopians,6,4,10,0.60
Kaipullae,Franks,4,9,13,0.31
Kaipullae,Georgians,6,3,9,0.67
Kaipullae,Goths,1,3,4,0.25
Kaipullae,Gurjaras,3,5,8,0.38
Kaipullae,Hindustanis,3,5,8,0.38
Kaipullae,Huns,5,5,10,0.50
Kaipullae,Inca,9,3,12,0.75
Kaipullae,Italians,5,2,7,0.71
Kaipullae,Japanese,2,5,7,0.29
Kaipullae,Jurchens,2,1,3,0.67
Kaipullae,Khitans,2,1,3,0.67
Kaipullae,Khmer,5,4,9,0.56
Kaipullae,Koreans,7,5,12,0.58
Kaipullae,Lithuanians,1,2,3,0.33
Kaipullae,Magyars,2,7,9,0.22
Kaipullae,Malay,2,6,8,0.25
Kaipullae,Malians,5,3,8,0.62
Kaipullae,Maya,4,2,6,0.67
Kaipullae,Mongols,1,7,8,0.12
Kaipullae,Persians,3,3,6,0.50
Kaipullae,Poles,3,5,8,0.38
Kaipullae,Portuguese,3,9,12,0.25
Kaipullae,Romans,1,1,2,0.50
Kaipullae,Saracens,5,3,8,0.62
Kaipullae,Shu,4,1,5,0.80
Kaipullae,Sicilians,6,7,13,0.46
Kaipullae,Slavs,11,2,13,0.85
Kaipullae,Spanish,7,1,8,0.88
Kaipullae,Tatars,3,1,4,0.75
Kaipullae,Teutons,5,8,13,0.38
Kaipullae,Turks,3,3,6,0.50
Kaipullae,Vietnamese,6,3,9,0.67
Kaipullae,Vikings,4,8,12,0.33
Kaipullae,Wei,4,1,5,0.80
M1k3,Armenians,5,3,8,0.62
M1k3,Aztecs,5,8,13,0.38
M1k3,Bengalis,7,7,14,0.50
M1k3,Berbers,6,7,13,0.46
M1k3,Bohemians,6,5,11,0.55
M1k3,Britons,9,8,17,0.53
M1k3,Bulgarians,8,11,19,0.42
M1k3,Burgundians,7,6,13,0.54
M1k3,Burmese,12,10,22,0.55
M1k3,Byzantines,5,11,16,0.31
M1k3,Celts,11,9,20,0.55
M1k3,Chinese,8,8,16,0.50
M1k3,Cumans,9,10,19,0.47
M1k3,Dravidians,13,17,30,0.43
M1k3,Ethiopians,7,10,17,0.41
M1k3,Franks,11,15,26,0.42
M1k3,Georgians,8,8,16,0.50
M1k3,Goths,7,7,14,0.50
M1k3,Gurjaras,15,11,26,0.58
M1k3,Hindustanis,10,5,15,0.67
M1k3,Huns,7,14,21,0.33
M1k3,Inca,3,8,11,0.27
M1k3,Italians,14,7,21,0.67
M1k3,Japanese,7,7,14,0.50
M1k3,Jurchens,6,5,11,0.55
M1k3,Khitans,2,1,3,0.67
M1k3,Khmer,7,7,14,0.50
M1k3,Koreans,8,9,17,0.47
M1k3,Lithuanians,9,7,16,0.56
M1k3,Magyars,8,5,13,0.62
M1k3,Malay,8,7,15,0.53
M1k3,Malians,10,6,16,0.62
M1k3,Mapuche,2,1,3,0.67
M1k3,Maya,12,14,26,0.46
M1k3,Mongols,6,8,14,0.43
M1k3,Muisca,1,1,2,0.50
M1k3,Persians,6,6,12,0.50
M1k3,Poles,12,8,20,0.60
M1k3,Portuguese,6,11,17,0.35
M1k3,Romans,9,8,17,0.53
M1k3,Saracens,12,12,24,0.50
M1k3,Shu,4,2,6,0.67
