nick,civ,wins,losses,games,winrate
stylishsteam,Poles,4,6,10,0.40
stylishsteam,Portuguese,2,5,7,0.29
stylishsteam,Romans,2,2,4,0.50
stylishsteam,Saracens,2,4,6,0.33
stylishsteam,Shu,1,6,7,0.14
stylishsteam,Sicilians,4,2,6,0.67
stylishsteam,Slavs,2,4,6,0.33
stylishsteam,Spanish,5,3,8,0.62
stylishsteam,Tatars,4,1,5,0.80
stylishsteam,Teutons,2,6,8,0.25
stylishsteam,Turks,1,2,3,0.33
stylishsteam,Vietnamese,5,3,8,0.62
stylishsteam,Vikings,4,6,10,0.40
stylishsteam,Wei,2,3,5,0.40
stylishsteam,Wu,0,3,3,0.00
sundar7238,Aztecs,4,12,16,0.25
sundar7238,Bengalis,12,17,29,0.41
sundar7238,Berbers,17,8,25,0.68
sundar7238,Bohemians,6,9,15,0.40
sundar7238,Britons,10,9,19,0.53
sundar7238,Bulgarians,9,15,24,0.38
sundar7238,Burgundians,16,13,29,0.55
sundar7238,Burmese,9,8,17,0.53
sundar7238,Byzantines,12,7,19,0.63
sundar7238,Celts,15,13,28,0.54
sundar7238,Chinese,12,12,24,0.50
sundar7238,Cumans,7,9,16,0.44
sundar7238,Dravidians,8,17,25,0.32
sundar7238,Ethiopians,8,13,21,0.38
sundar7238,Franks,11,15,26,0.42
sundar7238,Goths,6,11,17,0.35
sundar7238,Gurjaras,17,11,28,0.61
sundar7238,Hindustanis,15,11,26,0.58
sundar7238,Huns,13,6,19,0.68
sundar7238,Inca,11,11,22,0.50
sundar7238,Italians,6,15,21,0.29
sundar7238,Japanese,12,13,25,0.48
sundar7238,Khmer,6,13,19,0.32
sundar7238,Koreans,6,5,11,0.55
sundar7238,Lithuanians,12,3,15,0.80
sundar7238,Magyars,8,7,15,0.53
sundar7238,Malay,14,10,24,0.58
sundar7238,Malians,14,16,30,0.47
sundar7238,Maya,10,18,28,0.36
sundar7238,Mongols,6,13,19,0.32
sundar7238,Persians,12,11,23,0.52
sundar7238,Poles,10,4,14,0.71
sundar7238,Portuguese,11,15,26,0.42
sundar7238,Saracens,8,7,15,0.53
sundar7238,Sicilians,11,9,20,0.55
sundar7238,Slavs,16,12,28,0.57
sundar7238,Spanish,12,13,25,0.48
sundar7238,Tatars,9,9,18,0.50
sundar7238,Teutons,10,13,23,0.43
sundar7238,Turks,11,11,22,0.50
sundar7238,Vietnamese,7,5,12,0.58
sundar7238,Vikings,11,9,20,0.55
thelivi,Armenians,2,0,2,1.00
thelivi,Aztecs,2,0,2,1.00
thelivi,Bengalis,4,4,8,0.50
thelivi,Berbers,4,2,6,0.67
thelivi,Bohemians,4,4,8,0.50
thelivi,Britons,2,1,3,0.67
thelivi,Bulgarians,2,1,3,0.67
thelivi,Burgundians,0,2,2,0.00
thelivi,Burmese,1,1,2,0.50
thelivi,Byzantines,2,0,2,1.00
thelivi,Celts,4,1,5,0.80
thelivi,Chinese,4,3,7,0.57
thelivi,Cumans,3,3,6,0.50
thelivi,Dravidians,1,3,4,0.25
thelivi,Ethiopians,3,3,6,0.50
thelivi,Georgians,3,3,6,0.50
thelivi,Goths,3,4,7,0.43
thelivi,Gurjaras,1,1,2,0.50
thelivi,Hindustanis,3,2,5,0.60
thelivi,Huns,5,3,8,0.62
thelivi,Inca,3,1,4,0.75
thelivi,Italians,3,3,6,0.50
thelivi,Japanese,2,2,4,0.50
thelivi,Jurchens,3,2,5,0.60
thelivi,Khitans,2,3,5,0.40
thelivi,Khmer,4,2,6,0.67
thelivi,Koreans,3,3,6,0.50
thelivi,Lithuanians,4,3,7,0.57
thelivi,Magyars,1,5,6,0.17
thelivi,Malay,2,3,5,0.40
thelivi,Maya,1,1,2,0.50
thelivi,Mongols,2,5,7,0.29
thelivi,Persians,4,3,7,0.57
thelivi,Poles,2,2,4,0.50
thelivi,Portuguese,3,3,6,0.50
thelivi,Romans,6,8,14,0.43
thelivi,Saracens,2,2,4,0.50
thelivi,Shu,3,2,5,0.60
thelivi,Sicilians,0,3,3,0.00
thelivi,Slavs,3,3,6,0.50
thelivi,Spanish,1,2,3,0.33
thelivi,Tatars,2,3,5,0.40
thelivi,Teutons,5,2,7,0.71
thelivi,Turks,2,1,3,0.67
thelivi,Vietnamese,4,1,5,0.80
thelivi,Vikings,2,8,10,0.20
thelivi,Wei,2,5,7,0.29
thelivi,Wu,2,2,4,0.50
TiShi,Armenians,4,1,5,0.80
TiShi,Aztecs,6,1,7,0.86
TiShi,Bengalis,6,5,11,0.55
TiShi,Berbers,11,5,16,0.69
TiShi,Bohemians,3,8,11,0.27
TiShi,Britons,7,7,14,0.50
TiShi,Bulgarians,4,4,8,0.50
TiShi,Burgundians,8,6,14,0.57
TiShi,Burmese,7,4,11,0.64
TiShi,Byzantines,3,4,7,0.43
TiShi,Celts,4,3,7,0.57
TiShi,Chinese,4,7,11,0.36
TiShi,Cumans,5,5,10,0.50
TiShi,Dravidians,3,5,8,0.38
TiShi,Ethiopians,9,9,18,0.50
TiShi,Franks,5,6,11,0.45
TiShi,Georgians,8,5,13,0.62
TiShi,Goths,1,8,9,0.11
TiShi,Gurjaras,4,4,8,0.50
TiShi,Hindustanis,6,5,11,0.55
TiShi,Huns,7,5,12,0.58
TiShi,Inca,3,4,7,0.43
TiShi,Italians,8,6,14,0.57
TiShi,Japanese,3,3,6,0.50
TiShi,Jurchens,2,9,11,0.18
TiShi,Khitans,6,3,9,0.67
TiShi,Khmer,4,2,6,0.67
TiShi,Koreans,5,4,9,0.56
TiShi,Lithuanians,6,8,14,0.43
TiShi,Magyars,5,5,10,0.50
TiShi,Malay,4,7,11,0.36
TiShi,Malians,7,4,11,0.64
TiShi,Mapuche,0,1,1,0.00
TiShi,Maya,3,2,5,0.60
TiShi,Mongols,6,7,13,0.46
TiShi,Muisca,1,0,1,1.00
TiShi,Persians,7,11,18,0.39
TiShi,Poles,8,3,11,0.73
TiShi,Portuguese,4,4,8,0.50
TiShi,Romans,7,7,14,0.50
TiShi,Saracens,2,3,5,0.40
TiShi,Shu,5,7,12,0.42
TiShi,Sicilians,5,3,8,0.62
TiShi,Slavs,8,7,15,0.53
TiShi,Spanish,3,2,5,0.60
TiShi,Tatars,2,9,11,0.18
TiShi,Teutons,6,9,15,0.40
TiShi,Tupi,6,3,9,0.67
TiShi,Turks,5,2,7,0.71
TiShi,Vietnamese,3,7,10,0.30
TiShi,Vikings,5,6,11,0.45
TiShi,Wei,4,4,8,0.50
TiShi,Wu,4,3,7,0.57
tokenbadteam,Bengalis,1,0,1,1.00
tokenbadteam,Berbers,0,1,1,0.00
tokenbadteam,Burgundians,1,0,1,1.00
tokenbadteam,Burmese,1,0,1,1.00
tokenbadteam,Celts,2,0,2,1.00
tokenbadteam,Cumans,0,1,1,0.00
tokenbadteam,Dravidians,1,0,1,1.00
tokenbadteam,Georgians,1,0,1,1.00
tokenbadteam,Huns,1,0,1,1.00
tokenbadteam,Khitans,0,1,1,0.00
tokenbadteam,Koreans,2,0,2,1.00
tokenbadteam,Magyars,2,0,2,1.00
tokenbadteam,Malay,0,1,1,0.00
tokenbadteam,Malians,2,0,2,1.00
tokenbadteam,Portuguese,1,0,1,1.00
tokenbadteam,Romans,0,1,1,0.00
tokenbadteam,Shu,1,0,1,1.00
tokenbadteam,Sicilians,1,0,1,1.00
tokenbadteam,Spanish,2,3,5,0.40
tokenbadteam,Tatars,0,1,1,0.00
tokenbadteam,Teutons,1,1,2,0.50
tokenbadteam,Turks,1,0,1,1.00
tokenbadteam,Vietnamese,1,0,1,1.00
tokenbadteam,Vikings,0,1,1,0.00
tokenbadteam,Wu,0,1,1,0.00
trush25,Armenians,0,1,1,0.00
trush25,Aztecs,1,0,1,1.00
trush25,Bulgarians,0,1,1,0.00
trush25,Dravidians,0,1,1,0.00
trush25,Ethiopians,1,0,1,1.00
trush25,Franks,1,0,1,1.00
trush25,Georgians,1,0,1,1.00
trush25,Inca,1,1,2,0.50
trush25,Japanese,1,0,1,1.00
trush25,Jurchens,0,1,1,0.00
trush25,Malians,0,1,1,0.00
trush25,Mapuche,0,1,1,0.00
trush25,Maya,0,1,1,0.00
trush25,Mongols,1,1,2,0.50
trush25,Poles,1,1,2,0.50
trush25,Portuguese,0,1,1,0.00
trush25,Shu,1,1,2,0.50
trush25,Slavs,1,0,1,1.00
trush25,Vikings,2,1,3,0.67
trush25,Wu,1,0,1,1.00
tyPo,Aztecs,8,16,24,0.33
tyPo,Bengalis,15,15,30,0.50
tyPo,Berbers,17,14,31,0.55
tyPo,Bohemians,25,23,48,0.52
tyPo,Britons,13,15,28,0.46
tyPo,Bulgarians,15,9,24,0.62
tyPo,Burgundians,17,13,30,0.57
tyPo,Burmese,13,17,30,0.43
tyPo,Byzantines,15,20,35,0.43
tyPo,Celts,15,14,29,0.52
tyPo,Chinese,10,15,25,0.40
tyPo,Cumans,15,8,23,0.65
tyPo,Dravidians,14,17,31,0.45
tyPo,Ethiopians,12,14,26,0.46
tyPo,Franks,16,11,27,0.59
tyPo,Goths,13,21,34,0.38
tyPo,Gurjaras,16,16,32,0.50
tyPo,Hindustanis,13,10,23,0.57
tyPo,Huns,16,13,29,0.55
tyPo,Inca,9,15,24,0.38
tyPo,Italians,12,26,38,0.32
tyPo,Japanese,8,17,25,0.32
tyPo,Khmer,14,17,31,0.45
tyPo,Koreans,12,9,21,0.57
tyPo,Lithuanians,15,19,34,0.44
tyPo,Magyars,18,14,32,0.56
tyPo,Malay,18,23,41,0.44
tyPo,Malians,14,12,26,0.54
tyPo,Maya,12,11,23,0.52
tyPo,Mongols,13,13,26,0.50
tyPo,Persians,16,13,29,0.55
tyPo,Poles,22,13,35,0.63
tyPo,Portuguese,9,12,21,0.43
tyPo,Saracens,15,16,31,0.48
tyPo,Sicilians,17,19,36,0.47
tyPo,Slavs,16,13,29,0.55
tyPo,Spanish,10,11,21,0.48
tyPo,Tatars,18,18,36,0.50
tyPo,Teutons,10,15,25,0.40
tyPo,Turks,13,14,27,0.48
tyPo,Vietnamese,13,14,27,0.48
tyPo,Vikings,13,18,31,0.42
tyPo Fan,Aztecs,1,6,7,0.14
tyPo Fan,Bengalis,2,0,2,1.00
tyPo Fan,Berbers,9,5,14,0.64
tyPo Fan,Bohemians,7,7,14,0.50
tyPo Fan,Britons,5,4,9,0.56
tyPo Fan,Bulgarians,5,4,9,0.56
tyPo Fan,Burgundians,5,4,9,0.56
tyPo Fan,Burmese,11,7,18,0.61
tyPo Fan,Byzantines,9,6,15,0.60
tyPo Fan,Celts,4,6,10,0.40
tyPo Fan,Chinese,8,5,13,0.62
tyPo Fan,Cumans,2,5,7,0.29
tyPo Fan,Dravidians,5,5,10,0.50
tyPo Fan,Ethiopians,7,5,12,0.58
tyPo Fan,Franks,5,4,9,0.56
tyPo Fan,Goths,6,4,10,0.60
tyPo Fan,Gurjaras,3,2,5,0.60
tyPo Fan,Hindustanis,8,4,12,0.67
tyPo Fan,Huns,1,1,2,0.50
tyPo Fan,Inca,12,6,18,0.67
tyPo Fan,Italians,4,7,11,0.36
tyPo Fan,Japanese,7,2,9,0.78
tyPo Fan,Khmer,5,4,9,0.56
tyPo Fan,Koreans,4,11,15,0.27
tyPo Fan,Lithuanians,7,5,12,0.58
tyPo Fan,Magyars,5,8,13,0.38
tyPo Fan,Malay,9,2,11,0.82
tyPo Fan,Malians,12,3,15,0.80
tyPo Fan,Maya,9,4,13,0.69
tyPo Fan,Mongols,5,9,14,0.36
tyPo Fan,Persians,4,5,9,0.44
tyPo Fan,Poles,5,2,7,0.71
tyPo Fan,Portuguese,9,5,14,0.64
tyPo Fan,Saracens,6,6,12,0.50
tyPo Fan,Sicilians,4,6,10,0.40
tyPo Fan,Slavs,7,1,8,0.88
tyPo Fan,Spanish,8,6,14,0.57
tyPo Fan,Tatars,2,5,7,0.29
tyPo Fan,Teutons,7,6,13,0.54
tyPo Fan,Turks,10,2,12,0.83
tyPo Fan,Vietnamese,2,9,11,0.18
tyPo Fan,Vikings,8,8,16,0.50
wallandboom,Armenians,1,0,1,1.00
wallandboom,Aztecs,1,1,2,0.50
wallandboom,Bengalis,1,5,6,0.17
wallandboom,Berbers,1,0,1,1.00
wallandboom,Bohemians,2,2,4,0.50
wallandboom,Britons,0,2,2,0.00
wallandboom,Bulgarians,1,0,1,1.00
wallandboom,Burgundians,1,1,2,0.50
wallandboom,Burmese,0,1,1,0.00
wallandboom,Byzantines,1,2,3,0.33
wallandboom,Chinese,1,0,1,1.00
wallandboom,Cumans,1,1,2,0.50
wallandboom,Dravidians,0,1,1,0.00
wallandboom,Franks,0,1,1,0.00
wallandboom,Georgians,1,0,1,1.00
wallandboom,Goths,2,4,6,0.33
wallandboom,Gurjaras,2,1,3,0.67
wallandboom,Hindustanis,2,1,3,0.67
wallandboom,Huns,0,1,1,0.00
wallandboom,Inca,2,2,4,0.50
wallandboom,Jurchens,0,1,1,0.00
wallandboom,Khitans,1,0,1,1.00
wallandboom,Khmer,1,0,1,1.00
wallandboom,Lithuanians,0,1,1,0.00
wallandboom,Magyars,2,0,2,1.00
wallandboom,Malay,0,1,1,0.00
wallandboom,Malians,1,1,2,0.50
wallandboom,Maya,3,2,5,0.60
wallandboom,Mongols,2,1,3,0.67
wallandboom,Persians,2,0,2,1.00
wallandboom,Poles,1,3,4,0.25
wallandboom,Portuguese,1,0,1,1.00
wallandboom,Shu,1,0,1,1.00
wallandboom,Sicilians,1,1,2,0.50
wallandboom,Slavs,0,1,1,0.00
wallandboom,Tatars,1,0,1,1.00
wallandboom,Teutons,1,0,1,1.00
wallandboom,Tupi,1,0,1,1.00
wallandboom,Turks,2,1,3,0.67
wallandboom,Vietnamese,1,1,2,0.50
wallandboom,Vikings,6,1,7,0.86
wallandboom,Wei,0,1,1,0.00
wallandboom,Wu,0,1,1,0.00
zasz,Aztecs,5,6,11,0.45
zasz,Bengalis,11,2,13,0.85
zasz,Berbers,6,10,16,0.38
zasz,Bohemians,5,5,10,0.50
zasz,Britons,5,3,8,0.62
zasz,Bulgarians,8,5,13,0.62
zasz,Burgundians,3,3,6,0.50
zasz,Burmese,7,4,11,0.64
zasz,Byzantines,5,2,7,0.71
zasz,Celts,2,8,10,0.20
zasz,Chinese,5,4,9,0.56
zasz,Cumans,7,0,7,1.00
zasz,Dravidians,4,2,6,0.67
zasz,Ethiopians,6,7,13,0.46
zasz,Franks,8,6,14,0.57
zasz,Goths,6,2,8,0.75
zasz,Gurjaras,5,5,10,0.50
zasz,Hindustanis,7,4,11,0.64
zasz,Huns,5,4,9,0.56
zasz,Inca,3,4,7,0.43
zasz,Italians,8,9,17,0.47
zasz,Japanese,1,4,5,0.20
zasz,Khmer,3,4,7,0.43
zasz,Koreans,7,8,15,0.47
zasz,Lithuanians,1,4,5,0.20
zasz,Magyars,3,6,9,0.33
zasz,Malay,4,8,12,0.33
zasz,Malians,4,2,6,0.67
zasz,Maya,3,4,7,0.43
zasz,Mongols,4,5,9,0.44
zasz,Persians,3,7,10,0.30
zasz,Poles,3,2,5,0.60
zasz,Portuguese,4,4,8,0.50
zasz,Saracens,3,5,8,0.38
zasz,Sicilians,1,2,3,0.33
zasz,Slavs,9,7,16,0.56
zasz,Spanish,7,7,14,0.50
zasz,Tatars,7,4,11,0.64
zasz,Teutons,4,7,11,0.36
zasz,Turks,5,6,11,0.45
zasz,Vietnamese,6,6,12,0.50
zasz,Vikings,2,1,3,0.67
